Body. SootClass: com.mopub.mobileads.VastVideoViewController, SootMethod: <com.mopub.mobileads.VastVideoViewController: void onComplete(java.lang.String,com.mopub.common.DownloadResponse)>, Stmt: virtualinvoke $r5.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r7)
Body. SootClass: com.mopub.mobileads.VastVideoToolbar, SootMethod: <com.mopub.mobileads.VastVideoToolbar: void setLearnMoreButtonOnTouchListener(android.view.View$OnTouchListener)>, Stmt: virtualinvoke $r2.<com.mopub.mobileads.ToolbarWidget: void setOnTouchListener(android.view.View$OnTouchListener)>($r1)
Body. SootClass: com.millennialmedia.android.InlineVideoView, SootMethod: <com.millennialmedia.android.InlineVideoView: void initInternalInlineVideo()>, Stmt: virtualinvoke $r0.<com.millennialmedia.android.InlineVideoView: void setOnTouchListener(android.view.View$OnTouchListener)>($r6)
Body. SootClass: com.mopub.mobileads.VastVideoToolbar, SootMethod: <com.mopub.mobileads.VastVideoToolbar: void <init>(android.content.Context)>, Stmt: virtualinvoke $r0.<com.mopub.mobileads.VastVideoToolbar: void setOnTouchListener(android.view.View$OnTouchListener)>($r2)
Body. SootClass: com.google.android.gms.dynamic.a, SootMethod: <com.google.android.gms.dynamic.a: void b(android.widget.FrameLayout)>, Stmt: virtualinvoke $r8.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r9)
Body. SootClass: com.millennialmedia.android.VideoPlayerActivity, SootMethod: <com.millennialmedia.android.VideoPlayerActivity: void initBottomBar(android.widget.RelativeLayout)>, Stmt: virtualinvoke $r7.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r14)
Body. SootClass: com.millennialmedia.android.InlineVideoView$MediaController, SootMethod: <com.millennialmedia.android.InlineVideoView$MediaController: void setAnchorView(android.view.View)>, Stmt: virtualinvoke $r2.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r11)
Body. SootClass: com.amazon.device.ads.InterstitialAdActivityAdapter$1, SootMethod: <com.amazon.device.ads.InterstitialAdActivityAdapter$1: android.widget.RelativeLayout doInBackground(java.lang.Void[])>, Stmt: virtualinvoke $r2.<android.widget.RelativeLayout: void setOnTouchListener(android.view.View$OnTouchListener)>($r9)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void a(android.view.ViewGroup)>, Stmt: virtualinvoke $r6.<com.inmobi.re.container.CustomView: void setOnTouchListener(android.view.View$OnTouchListener)>($r11)
Body. SootClass: com.facebook.ads.VideoAdActivity, SootMethod: <com.facebook.ads.VideoAdActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r7.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r16)
Body. SootClass: com.nexage.ormma.controller.listeners.AccelListener, SootMethod: <com.nexage.ormma.controller.listeners.AccelListener: void start()>, Stmt: virtualinvoke $r1.<android.hardware.SensorManager: boolean registerListener(android.hardware.SensorEventListener,android.hardware.Sensor,int)>($r0, $r4, $i0)
Body. SootClass: com.tapjoy.mraid.view.Browser, SootMethod: <com.tapjoy.mraid.view.Browser: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r11.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: com.tapjoy.TapjoyVideoView, SootMethod: <com.tapjoy.TapjoyVideoView: android.app.Dialog onCreateDialog(int)>, Stmt: virtualinvoke $r6.<android.app.Dialog: void setOnCancelListener(android.content.DialogInterface$OnCancelListener)>($r7)
Body. SootClass: com.mopub.mobileads.VastVideoViewController, SootMethod: <com.mopub.mobileads.VastVideoViewController: android.widget.VideoView createVideoView(android.content.Context)>, Stmt: virtualinvoke $r2.<android.widget.VideoView: void setOnTouchListener(android.view.View$OnTouchListener)>($r5)
Body. SootClass: com.flurry.sdk.g, SootMethod: <com.flurry.sdk.g: void a(android.content.Context)>, Stmt: virtualinvoke $r2.<android.app.ProgressDialog: void setOnKeyListener(android.content.DialogInterface$OnKeyListener)>($r0)
Body. SootClass: com.mopub.common.MoPubBrowser, SootMethod: <com.mopub.common.MoPubBrowser: void initializeButtons()>, Stmt: virtualinvoke $r1.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r2)
Body. SootClass: com.nexage.android.mraid.MraidBrowser, SootMethod: <com.nexage.android.mraid.MraidBrowser: void setButtonListeners()>, Stmt: virtualinvoke $r1.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r4)
Body. SootClass: com.flurry.sdk.g, SootMethod: <com.flurry.sdk.g: void a(int,int)>, Stmt: virtualinvoke $r4.<android.app.Dialog: void setOnDismissListener(android.content.DialogInterface$OnDismissListener)>($r13)
Body. SootClass: com.millennialmedia.android.VideoPlayerActivity, SootMethod: <com.millennialmedia.android.VideoPlayerActivity: void initBottomBar(android.widget.RelativeLayout)>, Stmt: virtualinvoke $r6.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r12)
Body. SootClass: com.nexage.android.interstitial.VideoAd, SootMethod: <com.nexage.android.interstitial.VideoAd: void createUi()>, Stmt: virtualinvoke $r13.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.amazon.device.ads.InterstitialAdActivityAdapter$1, SootMethod: <com.amazon.device.ads.InterstitialAdActivityAdapter$1: android.widget.RelativeLayout doInBackground(java.lang.Void[])>, Stmt: virtualinvoke $r5.<android.widget.ImageView: void setOnTouchListener(android.view.View$OnTouchListener)>($r9)
Body. SootClass: com.nexage.android.mraid.MraidDisplayController, SootMethod: <com.nexage.android.mraid.MraidDisplayController: void setNativeCloseButtonEnabled(boolean)>, Stmt: virtualinvoke $r3.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r15)
Body. SootClass: com.mopub.common.MoPubBrowser, SootMethod: <com.mopub.common.MoPubBrowser: void initializeButtons()>, Stmt: virtualinvoke $r1.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r3)
Body. SootClass: com.flurry.sdk.z, SootMethod: <com.flurry.sdk.z: android.view.View q()>, Stmt: virtualinvoke $r2.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r5)
Body. SootClass: com.facebook.ads.VideoAdActivity, SootMethod: <com.facebook.ads.VideoAdActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r6.<android.view.View: void setOnTouchListener(android.view.View$OnTouchListener)>($r18)
Body. SootClass: com.google.android.gms.internal.ch, SootMethod: <com.google.android.gms.internal.ch: void <init>(android.app.Activity,int)>, Stmt: virtualinvoke $r2.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.inmobi.re.container.mraidimpl.MRAIDExpandController, SootMethod: <com.inmobi.re.container.mraidimpl.MRAIDExpandController: android.widget.FrameLayout a(com.inmobi.re.controller.JSController$ExpandProperties)>, Stmt: virtualinvoke $r7.<android.widget.FrameLayout: void setOnTouchListener(android.view.View$OnTouchListener)>($r10)
Body. SootClass: com.amazon.device.ads.InterstitialAdActivityAdapter$1, SootMethod: <com.amazon.device.ads.InterstitialAdActivityAdapter$1: android.widget.RelativeLayout doInBackground(java.lang.Void[])>, Stmt: virtualinvoke $r5.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r8)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void a(android.view.ViewGroup)>, Stmt: virtualinvoke $r6.<com.inmobi.re.container.CustomView: void setOnTouchListener(android.view.View$OnTouchListener)>($r10)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r13.<com.inmobi.re.container.IMWebView: void setOnKeyListener(android.view.View$OnKeyListener)>($r23)
Body. SootClass: com.nexage.android.interstitial.VideoAd, SootMethod: <com.nexage.android.interstitial.VideoAd: void createUi()>, Stmt: virtualinvoke $r13.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r22)
Body. SootClass: com.facebook.ads.VideoAdActivity, SootMethod: <com.facebook.ads.VideoAdActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r7.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r17)
Body. SootClass: com.inneractive.api.ads.sdk.InneractiveInternalBrowserActivity, SootMethod: <com.inneractive.api.ads.sdk.InneractiveInternalBrowserActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r9.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r19)
Body. SootClass: com.nexage.android.mraid.MraidView, SootMethod: <com.nexage.android.mraid.MraidView: void initialize(com.nexage.android.mraid.MraidView$ExpansionStyle,com.nexage.android.mraid.MraidView$NativeCloseButtonStyle)>, Stmt: virtualinvoke $r0.<com.nexage.android.mraid.MraidView: void setOnTouchListener(android.view.View$OnTouchListener)>($r6)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r21.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r29)
Body. SootClass: com.facebook.widget.k, SootMethod: <com.facebook.widget.k: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.app.ProgressDialog: void setOnCancelListener(android.content.DialogInterface$OnCancelListener)>($r6)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void a(android.view.ViewGroup)>, Stmt: virtualinvoke $r6.<com.inmobi.re.container.CustomView: void setOnTouchListener(android.view.View$OnTouchListener)>($r9)
Body. SootClass: com.inmobi.androidsdk.IMBrowserActivity, SootMethod: <com.inmobi.androidsdk.IMBrowserActivity: void a(android.view.ViewGroup)>, Stmt: virtualinvoke $r2.<android.widget.LinearLayout: void setOnTouchListener(android.view.View$OnTouchListener)>($r3)
Body. SootClass: com.nexage.android.mraid.MraidBrowser, SootMethod: <com.nexage.android.mraid.MraidBrowser: void setButtonListeners()>, Stmt: virtualinvoke $r1.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r3)
Body. SootClass: com.nexage.ormma.view.OrmmaView, SootMethod: <com.nexage.ormma.view.OrmmaView: android.widget.FrameLayout changeContentArea(com.nexage.ormma.controller.OrmmaController$Dimensions)>, Stmt: virtualinvoke $r7.<android.widget.FrameLayout: void setOnTouchListener(android.view.View$OnTouchListener)>($r10)
Body. SootClass: com.inmobi.re.container.mraidimpl.MRAIDResizeController, SootMethod: <com.inmobi.re.container.mraidimpl.MRAIDResizeController: void a(android.view.ViewGroup,java.lang.String)>, Stmt: virtualinvoke $r3.<com.inmobi.re.container.CustomView: void setOnClickListener(android.view.View$OnClickListener)>($r8)
Body. SootClass: com.inmobi.re.container.a, SootMethod: <com.inmobi.re.container.a: void onShowCustomView(android.view.View,android.webkit.WebChromeClient$CustomViewCallback)>, Stmt: virtualinvoke $r7.<android.view.View: void setOnTouchListener(android.view.View$OnTouchListener)>($r9)
