Body. SootClass: com.actionbarsherlock.widget.SearchView, SootMethod: <com.actionbarsherlock.widget.SearchView: void <init>(android.content.Context,android.util.AttributeSet)>, Stmt: virtualinvoke $r17.<com.actionbarsherlock.widget.SearchView$SearchAutoComplete: void setOnItemSelectedListener(android.widget.AdapterView$OnItemSelectedListener)>($r23)
Body. SootClass: org.yuttadhammo.tipitaka.SearchDialog, SootMethod: <org.yuttadhammo.tipitaka.SearchDialog: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r23.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r24)
Body. SootClass: com.actionbarsherlock.internal.view.menu.ActionMenuItemView, SootMethod: <com.actionbarsherlock.internal.view.menu.ActionMenuItemView: void onFinishInflate()>, Stmt: virtualinvoke $r2.<android.widget.ImageButton: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: org.yuttadhammo.tipitaka.SearchActivity, SootMethod: <org.yuttadhammo.tipitaka.SearchActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r12.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.actionbarsherlock.internal.widget.IcsListPopupWindow, SootMethod: <com.actionbarsherlock.internal.widget.IcsListPopupWindow: int buildDropDown()>, Stmt: virtualinvoke $r4.<com.actionbarsherlock.internal.widget.IcsListPopupWindow$DropDownListView: void setOnScrollListener(android.widget.AbsListView$OnScrollListener)>($r9)
Body. SootClass: org.yuttadhammo.tipitaka.QuizActivity$QuizAdapter, SootMethod: <org.yuttadhammo.tipitaka.QuizActivity$QuizAdapter: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r4.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: org.yuttadhammo.tipitaka.BookmarkPaliActivity, SootMethod: <org.yuttadhammo.tipitaka.BookmarkPaliActivity: void showSortingDialog()>, Stmt: virtualinvoke $r6.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r7)
Body. SootClass: org.yuttadhammo.tipitaka.ReadBookActivity, SootMethod: <org.yuttadhammo.tipitaka.ReadBookActivity: void searchInPage()>, Stmt: virtualinvoke $r1.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r8)
Body. SootClass: com.actionbarsherlock.internal.widget.IcsListPopupWindow, SootMethod: <com.actionbarsherlock.internal.widget.IcsListPopupWindow: int buildDropDown()>, Stmt: virtualinvoke $r4.<com.actionbarsherlock.internal.widget.IcsListPopupWindow$DropDownListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r7)
Body. SootClass: com.actionbarsherlock.widget.SearchView, SootMethod: <com.actionbarsherlock.widget.SearchView: void <init>(android.content.Context,android.util.AttributeSet)>, Stmt: virtualinvoke $r17.<com.actionbarsherlock.widget.SearchView$SearchAutoComplete: void setOnFocusChangeListener(android.view.View$OnFocusChangeListener)>($r25)
