Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r4.<android.view.View: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r28)
Body. SootClass: com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter, SootMethod: <com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r1.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r11)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void add(int)>, Stmt: virtualinvoke $r16.<android.widget.EditText: void setOnFocusChangeListener(android.view.View$OnFocusChangeListener)>($r17)
Body. SootClass: com.amaze.filemanager.fragments.preference_fragments.Preffrag$8, SootMethod: <com.amaze.filemanager.fragments.preference_fragments.Preffrag$8: boolean onPreferenceClick(android.preference.Preference)>, Stmt: virtualinvoke $r18.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r22)
Body. SootClass: com.afollestad.materialdialogs.DialogInit, SootMethod: <com.afollestad.materialdialogs.DialogInit: void init(com.afollestad.materialdialogs.MaterialDialog)>, Stmt: virtualinvoke $r0.<com.afollestad.materialdialogs.MaterialDialog: void setOnShowListener(android.content.DialogInterface$OnShowListener)>($r32)
Body. SootClass: com.amaze.filemanager.fragments.ZipViewer, SootMethod: <com.amaze.filemanager.fragments.ZipViewer: void onActivityCreated(android.os.Bundle)>, Stmt: virtualinvoke $r8.<android.view.View: void setOnTouchListener(android.view.View$OnTouchListener)>($r9)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r23.<com.github.clans.fab.FloatingActionButton: void setOnClickListener(android.view.View$OnClickListener)>($r26)
Body. SootClass: com.amaze.filemanager.adapters.Recycleradapter, SootMethod: <com.amaze.filemanager.adapters.Recycleradapter: void onBindViewHolder(android.support.v7.widget.RecyclerView$ViewHolder,int)>, Stmt: virtualinvoke $r12.<android.widget.ImageView: void setOnClickListener(android.view.View$OnClickListener)>($r16)
Body. SootClass: com.amaze.filemanager.fragments.preference_fragments.Preffrag$8, SootMethod: <com.amaze.filemanager.fragments.preference_fragments.Preffrag$8: boolean onPreferenceClick(android.preference.Preference)>, Stmt: virtualinvoke $r19.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r23)
Body. SootClass: com.amaze.filemanager.adapters.AppsAdapter, SootMethod: <com.amaze.filemanager.adapters.AppsAdapter: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r13.<android.widget.RelativeLayout: void setOnLongClickListener(android.view.View$OnLongClickListener)>($r18)
Body. SootClass: com.amaze.filemanager.activities.MainActivity, SootMethod: <com.amaze.filemanager.activities.MainActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r23.<com.github.clans.fab.FloatingActionButton: void setOnClickListener(android.view.View$OnClickListener)>($r25)
Body. SootClass: com.amaze.filemanager.fragments.preference_fragments.Preffrag$8, SootMethod: <com.amaze.filemanager.fragments.preference_fragments.Preffrag$8: boolean onPreferenceClick(android.preference.Preference)>, Stmt: virtualinvoke $r17.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r21)
Body. SootClass: com.amaze.filemanager.fragments.ZipViewer, SootMethod: <com.amaze.filemanager.fragments.ZipViewer: android.view.View onCreateView(android.view.LayoutInflater,android.view.ViewGroup,android.os.Bundle)>, Stmt: virtualinvoke $r7.<android.support.v7.widget.RecyclerView: void setOnTouchListener(android.view.View$OnTouchListener)>($r8)
