Body. SootClass: com.keniu.security.sync.ui.SyncRestoreActivity, SootMethod: <com.keniu.security.sync.ui.SyncRestoreActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r5.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r6)
Body. SootClass: com.keniu.security.software.SoftwareManager2, SootMethod: <com.keniu.security.software.SoftwareManager2: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r4.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r6)
Body. SootClass: com.keniu.security.malware.MalwareUnknownListActivity, SootMethod: <com.keniu.security.malware.MalwareUnknownListActivity: void c()>, Stmt: virtualinvoke $r6.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r0)
Body. SootClass: com.keniu.security.malware.NotificationAdsCheckActivity, SootMethod: <com.keniu.security.malware.NotificationAdsCheckActivity: void b()>, Stmt: virtualinvoke $r2.<android.widget.LinearLayout: void setOnClickListener(android.view.View$OnClickListener)>($r6)
Body. SootClass: com.ijinshan.kinghelper.firewall.FirewallLogDetailActivity, SootMethod: <com.ijinshan.kinghelper.firewall.FirewallLogDetailActivity: void a(boolean,long)>, Stmt: virtualinvoke $r8.<android.app.Dialog: void setOnDismissListener(android.content.DialogInterface$OnDismissListener)>($r9)
Body. SootClass: com.keniu.security.importx.ImportfContactActivity, SootMethod: <com.keniu.security.importx.ImportfContactActivity: void r()>, Stmt: virtualinvoke $r6.<android.widget.ListView: void setOnScrollListener(android.widget.AbsListView$OnScrollListener)>($r7)
Body. SootClass: com.ijinshan.cleaner.HistoryCleanerActivity, SootMethod: <com.ijinshan.cleaner.HistoryCleanerActivity: void a()>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.keniu.security.traffic.az, SootMethod: <com.keniu.security.traffic.az: void onClick(android.view.View)>, Stmt: virtualinvoke $r9.<android.widget.LinearLayout: void setOnClickListener(android.view.View$OnClickListener)>($r10)
Body. SootClass: com.jxphone.mosecurity.activity.friend.FriendActivity, SootMethod: <com.jxphone.mosecurity.activity.friend.FriendActivity: void M()>, Stmt: virtualinvoke $r1.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r2)
Body. SootClass: com.keniu.security.malware.aw, SootMethod: <com.keniu.security.malware.aw: android.view.View getChildView(int,int,boolean,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r7.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: com.keniu.security.protection.ui.PreventTheftExperienceInfoActivity, SootMethod: <com.keniu.security.protection.ui.PreventTheftExperienceInfoActivity: void d()>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r4)
Body. SootClass: com.keniu.security.traffic.TrafficSoftDetailActivity, SootMethod: <com.keniu.security.traffic.TrafficSoftDetailActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r18.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r19)
Body. SootClass: com.keniu.security.main.a, SootMethod: <com.keniu.security.main.a: void a(int)>, Stmt: virtualinvoke $r8.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r13)
Body. SootClass: com.keniu.security.service.b, SootMethod: <com.keniu.security.service.b: void a(android.view.View)>, Stmt: virtualinvoke $r1.<android.view.View: void setOnKeyListener(android.view.View$OnKeyListener)>($r0)
Body. SootClass: com.keniu.security.malware.MalwareUnknownListActivity, SootMethod: <com.keniu.security.malware.MalwareUnknownListActivity: void c()>, Stmt: virtualinvoke $r5.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.keniu.security.protection.ui.PreventTheftExperienceInfoActivity, SootMethod: <com.keniu.security.protection.ui.PreventTheftExperienceInfoActivity: void onStart()>, Stmt: virtualinvoke $r4.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r5)
Body. SootClass: com.keniu.security.traffic.TrafficFireWallMainActivity, SootMethod: <com.keniu.security.traffic.TrafficFireWallMainActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r4.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.ijinshan.kinghelper.firewall.FirewallSmsLogListActivity, SootMethod: <com.ijinshan.kinghelper.firewall.FirewallSmsLogListActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.ListView: void setOnItemLongClickListener(android.widget.AdapterView$OnItemLongClickListener)>($r4)
Body. SootClass: com.ijinshan.cleaner.MonitorUninstallActivity, SootMethod: <com.ijinshan.cleaner.MonitorUninstallActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r22.<android.widget.CheckBox: void setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener)>($r23)
Body. SootClass: com.keniu.security.traffic.TrafficSoftListActivity2, SootMethod: <com.keniu.security.traffic.TrafficSoftListActivity2: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r2.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r10)
Body. SootClass: com.ijinshan.cleaner.CacheCleanerActivity, SootMethod: <com.ijinshan.cleaner.CacheCleanerActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r10.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r11)
Body. SootClass: com.keniu.security.sync.ui.SyncRestoreActivity, SootMethod: <com.keniu.security.sync.ui.SyncRestoreActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r4)
Body. SootClass: com.ijinshan.kinghelper.firewall.FireWallSmsAndCallActivity, SootMethod: <com.ijinshan.kinghelper.firewall.FireWallSmsAndCallActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.RelativeLayout: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.ijinshan.kinghelper.common.PickListActivity, SootMethod: <com.ijinshan.kinghelper.common.PickListActivity: android.app.Dialog a(android.content.DialogInterface$OnDismissListener,android.content.DialogInterface$OnClickListener,android.content.DialogInterface$OnClickListener)>, Stmt: virtualinvoke $r9.<android.widget.CheckBox: void setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener)>($r10)
Body. SootClass: com.keniu.security.g.a, SootMethod: <com.keniu.security.g.a: void c(com.keniu.security.f.t,com.keniu.security.f.v)>, Stmt: virtualinvoke $r9.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>($r10)
Body. SootClass: com.keniu.security.main.MainActivity, SootMethod: <com.keniu.security.main.MainActivity: android.app.Dialog E()>, Stmt: virtualinvoke $r6.<android.app.Dialog: void setOnDismissListener(android.content.DialogInterface$OnDismissListener)>($r7)
Body. SootClass: com.ijinshan.kinghelper.firewall.FirewallCallActivity, SootMethod: <com.ijinshan.kinghelper.firewall.FirewallCallActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.RelativeLayout: void setOnClickListener(android.view.View$OnClickListener)>($r0)
Body. SootClass: com.keniu.security.traffic.TrafficMainActivity, SootMethod: <com.keniu.security.traffic.TrafficMainActivity: void a(java.lang.Object)>, Stmt: virtualinvoke $r6.<android.widget.TextView: void setOnClickListener(android.view.View$OnClickListener)>(r37)
Body. SootClass: com.keniu.security.commumgr.CallLocateLayoutActivity, SootMethod: <com.keniu.security.commumgr.CallLocateLayoutActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r3.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r5)
Body. SootClass: com.keniu.security.software.aj, SootMethod: <com.keniu.security.software.aj: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r9.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r10)
Body. SootClass: com.keniu.security.traffic.TrafficWarningDialog, SootMethod: <com.keniu.security.traffic.TrafficWarningDialog: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r9.<android.widget.Button: void setOnClickListener(android.view.View$OnClickListener)>($r12)
Body. SootClass: com.jxphone.mosecurity.activity.friend.au, SootMethod: <com.jxphone.mosecurity.activity.friend.au: android.view.View getView(int,android.view.View,android.view.ViewGroup)>, Stmt: virtualinvoke $r22.<android.widget.CheckBox: void setOnCheckedChangeListener(android.widget.CompoundButton$OnCheckedChangeListener)>($r24)
Body. SootClass: com.ijinshan.kinghelper.firewall.FirewallCallLogListActivity, SootMethod: <com.ijinshan.kinghelper.firewall.FirewallCallLogListActivity: void onClick(android.view.View)>, Stmt: virtualinvoke $r1.<android.view.View: void setOnClickListener(android.view.View$OnClickListener)>($r18)
Body. SootClass: com.hoi.netstat.NetStatActivity, SootMethod: <com.hoi.netstat.NetStatActivity: void onCreate(android.os.Bundle)>, Stmt: virtualinvoke $r6.<android.widget.ListView: void setOnItemClickListener(android.widget.AdapterView$OnItemClickListener)>($r10)
